IBARMIA,1,50
,26W35,34.65
,26W36,34.65
,26W37,34.65
,26W38,34.65
,26W39,34.65
,26W40,34.65
,26W41,34.65
,26W42,34.65
,26W43,34.65
,26W44,34.65
,26W45,34.65
,26W46,34.65
,26W47,34.65
,26W48,34.65
,26W49,34.65
,26W50,34.65
,26W51,34.65
,26W52,34.65
,26W53,34.65
,27W01,34.65
,27W02,34.65
,27W03,34.65
,27W04,34.65
,27W05,34.65
,27W06,34.65
,27W07,34.65
,27W08,34.65
,27W09,34.65
,27W10,34.65
,27W11,34.65
,27W12,34.65
,27W13,34.65
,27W14,34.65
,27W15,34.65
,27W16,34.65
,27W17,34.65
,27W18,34.65
,27W19,34.65
,27W20,34.65
,27W21,34.65
,27W22,34.65
,27W23,34.65
,27W24,34.65
,27W25,34.65
,27W26,34.65
,27W27,34.65
,27W28,34.65
,27W29,34.65
,27W30,34.65
,27W31,34.65
,27W32,34.65
,27W33,34.65
,27W34,34.65
,27W35,34.65
,27W36,34.65
,27W37,34.65
,27W38,34.65
,27W39,34.65
,27W40,34.65
,27W41,34.65
,27W42,34.65
,27W43,34.65
,27W44,34.65
,27W45,34.65
,27W46,34.65
,27W47,34.65
,27W48,34.65
,27W49,34.65
,27W50,34.65
,27W51,34.65
MACHINE A FIL,1,80
,26W35,13.86
,26W36,13.86
,26W37,13.86
,26W38,13.86
,26W39,13.86
,26W40,13.86
,26W41,13.86
,26W42,13.86
,26W43,13.86
,26W44,13.86
,26W45,13.86
,26W46,13.86
,26W47,13.86
,26W48,13.86
,26W49,13.86
,26W50,13.86
,26W51,13.86
,26W52,13.86
,26W53,13.86
,27W01,13.86
,27W02,13.86
,27W03,13.86
,27W04,13.86
,27W05,13.86
,27W06,13.86
,27W07,13.86
,27W08,13.86
,27W09,13.86
,27W10,13.86
,27W11,13.86
,27W12,13.86
,27W13,13.86
,27W14,13.86
,27W15,13.86
,27W16,13.86
,27W17,13.86
,27W18,13.86
,27W19,13.86
,27W20,13.86
,27W21,13.86
,27W22,13.86
,27W23,13.86
,27W24,13.86
,27W25,13.86
,27W26,13.86
,27W27,13.86
,27W28,13.86
,27W29,13.86
,27W30,13.86
,27W31,13.86
,27W32,13.86
,27W33,13.86
,27W34,13.86
,27W35,13.86
,27W36,13.86
,27W37,13.86
,27W38,13.86
,27W39,13.86
,27W40,13.86
,27W41,13.86
,27W42,13.86
,27W43,13.86
,27W44,13.86
,27W45,13.86
,27W46,13.86
,27W47,13.86
,27W48,13.86
,27W49,13.86
,27W50,13.86
,27W51,13.86
MAZAK 5 AXES,1,70
,26W35,34.65
,26W36,34.65
,26W37,34.65
,26W38,34.65
,26W39,34.65
,26W40,34.65
,26W41,34.65
,26W42,34.65
,26W43,34.65
,26W44,34.65
,26W45,34.65
,26W46,34.65
,26W47,34.65
,26W48,34.65
,26W49,34.65
,26W50,34.65
,26W51,34.65
,26W52,34.65
,26W53,34.65
,27W01,34.65
,27W02,34.65
,27W03,34.65
,27W04,34.65
,27W05,34.65
,27W06,34.65
,27W07,34.65
,27W08,34.65
,27W09,34.65
,27W10,34.65
,27W11,34.65
,27W12,34.65
,27W13,34.65
,27W14,34.65
,27W15,34.65
,27W16,34.65
,27W17,34.65
,27W18,34.65
,27W19,34.65
,27W20,34.65
,27W21,34.65
,27W22,34.65
,27W23,34.65
,27W24,34.65
,27W25,34.65
,27W26,34.65
,27W27,34.65
,27W28,34.65
,27W29,34.65
,27W30,34.65
,27W31,34.65
,27W32,34.65
,27W33,34.65
,27W34,34.65
,27W35,34.65
,27W36,34.65
,27W37,34.65
,27W38,34.65
,27W39,34.65
,27W40,34.65
,27W41,34.65
,27W42,34.65
,27W43,34.65
,27W44,34.65
,27W45,34.65
,27W46,34.65
,27W47,34.65
,27W48,34.65
,27W49,34.65
,27W50,34.65
,27W51,34.65
OKUMA B300,1,70
,26W35,34.65
,26W36,34.65
,26W37,34.65
,26W38,34.65
,26W39,34.65
,26W40,34.65
,26W41,34.65
,26W42,34.65
,26W43,34.65
,26W44,34.65
,26W45,34.65
,26W46,34.65
,26W47,34.65
,26W48,34.65
,26W49,34.65
,26W50,34.65
,26W51,34.65
,26W52,34.65
,26W53,34.65
,27W01,34.65
,27W02,34.65
,27W03,34.65
,27W04,34.65
,27W05,34.65
,27W06,34.65
,27W07,34.65
,27W08,34.65
,27W09,34.65
,27W10,34.65
,27W11,34.65
,27W12,34.65
,27W13,34.65
,27W14,34.65
,27W15,34.65
,27W16,34.65
,27W17,34.65
,27W18,34.65
,27W19,34.65
,27W20,34.65
,27W21,34.65
,27W22,34.65
,27W23,34.65
,27W24,34.65
,27W25,34.65
,27W26,34.65
,27W27,34.65
,27W28,34.65
,27W29,34.65
,27W30,34.65
,27W31,34.65
,27W32,34.65
,27W33,34.65
,27W34,34.65
,27W35,34.65
,27W36,34.65
,27W37,34.65
,27W38,34.65
,27W39,34.65
,27W40,34.65
,27W41,34.65
,27W42,34.65
,27W43,34.65
,27W44,34.65
,27W45,34.65
,27W46,34.65
,27W47,34.65
,27W48,34.65
,27W49,34.65
,27W50,34.65
,27W51,34.65
BROCHAGE_OBTU,3,80
,26W35,34.65
,26W36,34.65
,26W37,34.65
,26W38,34.65
,26W39,34.65
,26W40,34.65
,26W41,34.65
,26W42,34.65
,26W43,34.65
,26W44,34.65
,26W45,34.65
,26W46,34.65
,26W47,34.65
,26W48,34.65
,26W49,34.65
,26W50,34.65
,26W51,34.65
,26W52,34.65
,26W53,34.65
,27W01,34.65
,27W02,34.65
,27W03,34.65
,27W04,34.65
,27W05,34.65
,27W06,34.65
,27W07,34.65
,27W08,34.65
,27W09,34.65
,27W10,34.65
,27W11,34.65
,27W12,34.65
,27W13,34.65
,27W14,34.65
,27W15,34.65
,27W16,34.65
,27W17,34.65
,27W18,34.65
,27W19,34.65
,27W20,34.65
,27W21,34.65
,27W22,34.65
,27W23,34.65
,27W24,34.65
,27W25,34.65
,27W26,34.65
,27W27,34.65
,27W28,34.65
,27W29,34.65
,27W30,34.65
,27W31,34.65
,27W32,34.65
,27W33,34.65
,27W34,34.65
,27W35,34.65
,27W36,34.65
,27W37,34.65
,27W38,34.65
,27W39,34.65
,27W40,34.65
,27W41,34.65
,27W42,34.65
,27W43,34.65
,27W44,34.65
,27W45,34.65
,27W46,34.65
,27W47,34.65
,27W48,34.65
,27W49,34.65
,27W50,34.65
,27W51,34.65
EH_DEGRAISSAGE,2,80
,26W35,17.325
,26W36,17.325
,26W37,17.325
,26W38,17.325
,26W39,17.325
,26W40,17.325
,26W41,17.325
,26W42,17.325
,26W43,17.325
,26W44,17.325
,26W45,17.325
,26W46,17.325
,26W47,17.325
,26W48,17.325
,26W49,17.325
,26W50,17.325
,26W51,17.325
,26W52,17.325
,26W53,17.325
,27W01,17.325
,27W02,17.325
,27W03,17.325
